fpr,tpr,seuil
0.0,0.0,1.0
0.0,0.08139534883720931,1.0
0.0,0.11627906976744186,0.9999999403953552
0.0,0.12790697674418605,0.9999998807907104
0.0,0.1511627906976744,0.9999998211860657
0.0,0.313953488372093,0.9999911785125732
0.0,0.3372093023255814,0.9999890923500061
0.0,0.9418604651162791,0.9715127944946289
0.02608695652173913,0.9418604651162791,0.9702755212783813
0.02608695652173913,0.9651162790697675,0.9555898904800415
0.06086956521739131,0.9651162790697675,0.9139599204063416
0.06086956521739131,0.9767441860465116,0.91000896692276
0.1391304347826087,0.9767441860465116,0.5494835376739502
0.1391304347826087,0.9883720930232558,0.37380197644233704
0.16521739130434782,0.9883720930232558,0.22906851768493652
0.16521739130434782,1.0,0.198924720287323
1.0,1.0,2.9145459477042135e-22
